num,id,concept_en,category,concept,property
1,s74,hand,bodypart,mano,parte del corpo
2,s74,hand,bodypart,mano,composta da un polso
3,s74,hand,bodypart,mano,composta da 5 dita
4,s74,hand,bodypart,mano,serve a impugnare oggetti
5,s74,hand,bodypart,mano,serve a compiere azioni
6,s74,woodpecker,bird,picchio,uccello
7,s74,woodpecker,bird,picchio,ha piumaggio colorato
8,s74,woodpecker,bird,picchio,è di piccole dimensioni
9,s74,woodpecker,bird,picchio,ha l'abitudine di colpire il tronco degli alberi per utilizzare buco come tana
10,s74,orange,fruit,arancia,agrume
11,s74,orange,fruit,arancia,dal sapore agro-dolce
12,s74,orange,fruit,arancia,ha un colore arancione
13,s74,orange,fruit,arancia,importata dagli Arabi
14,s74,orange,fruit,arancia,contiene vitamina C
15,s74,bus,vehicle,autobus,mezzo
16,s74,bus,vehicle,autobus,di trasporto
17,s74,bus,vehicle,autobus,urbano
18,s74,bus,vehicle,autobus,viagga su ruote
19,s74,bus,vehicle,autobus,guidato da un autista specializzato
20,s74,bus,vehicle,autobus,ferma in precisi punti del suo tracciato
21,s74,corn,vegetable,mais,importato dall'America centrale
22,s74,corn,vegetable,mais,granaglia
23,s74,corn,vegetable,mais,sapore dolce
24,s74,corn,vegetable,mais,ridotte dimensioni
25,s74,bed,furniture,letto,pezzo di arredamento
26,s74,bed,furniture,letto,addetto al riposo
27,s74,bed,furniture,letto,composto da un materasso
28,s74,bed,furniture,letto,composto da un cuscino
29,s74,bed,furniture,letto,composto da un lenzuolo
30,s74,bed,furniture,letto,grande a seconda di chi deve occuparlo
31,s74,bed,furniture,letto,matrimoniale
32,s74,bed,furniture,letto,a castello
33,s74,rabbit,mammal,coniglio,roditore
34,s74,rabbit,mammal,coniglio,mammifero
35,s74,rabbit,mammal,coniglio,molto prolifico
36,s74,rabbit,mammal,coniglio,si nutre di ortaggi
37,s74,rabbit,mammal,coniglio,è agile
38,s74,peas,vegetable,piselli,legumi
39,s74,peas,vegetable,piselli,di colore verde chiaro
40,s74,peas,vegetable,piselli,di dimensioni ridotte
41,s74,peas,vegetable,piselli,crescono nell'orto
42,s74,peas,vegetable,piselli,li usò Mendel
43,s74,closet,furniture,armadio,pezzo d'arredamento
44,s74,closet,furniture,armadio,è di legno
45,s74,closet,furniture,armadio,serve a contenere oggetti ingombranti
46,s74,closet,furniture,armadio,di diverse dimensioni
47,s74,ship,vehicle,nave,mezzo
48,s74,ship,vehicle,nave,di trasporto
49,s74,ship,vehicle,nave,viaggia sull'acqua
50,s74,ship,vehicle,nave,adibita a diverse funzioni
51,s74,ship,vehicle,nave,pilotata da un uomo
52,s74,dog,mammal,cane,animale
53,s74,dog,mammal,cane,da compagnia
54,s74,dog,mammal,cane,i cinesi lo mangiano
55,s74,dog,mammal,cane,di indole aggressiva
56,s74,dog,mammal,cane,morde
57,s74,dog,mammal,cane,sbava
58,s74,dog,mammal,cane,puzza
59,s74,horse,mammal,cavallo,animale
60,s74,horse,mammal,cavallo,da traino
61,s74,horse,mammal,cavallo,raggiunge velocità notevoli
62,s74,horse,mammal,cavallo,usato fin dall'antichità
63,s74,horse,mammal,cavallo,di notevoli dimensioni
64,s74,tongs,implement,pinze,strumento
65,s74,tongs,implement,pinze,da lavoro
66,s74,tongs,implement,pinze,serve a tagliare cavi
67,s74,tongs,implement,pinze,serve a tagliare fili
68,s74,tongs,implement,pinze,variano in grandezza
69,s74,skyscraper,building,grattacielo,abitazione
70,s74,skyscraper,building,grattacielo,molto alto
71,s74,skyscraper,building,grattacielo,occupato da appartamenti
72,s74,skyscraper,building,grattacielo,occupato da uffici
73,s74,skyscraper,building,grattacielo,tipico delle città moderne
74,s74,eye,bodypart,occhio,parte del corpo umano
75,s74,eye,bodypart,occhio,serve a vedere
76,s74,eye,bodypart,occhio,composto da iride
77,s74,eye,bodypart,occhio,composto da pupilla
78,s74,eye,bodypart,occhio,di diversi colori
79,s74,truck,vehicle,camion,mezzo
80,s74,truck,vehicle,camion,di trasporto
81,s74,truck,vehicle,camion,adibito a trasporto merci
82,s74,truck,vehicle,camion,di dimensioni variabili
83,s74,truck,vehicle,camion,viaggia su 4 ruote
84,s74,finger,bodypart,dito,parte della mano
85,s74,finger,bodypart,dito,cresce con l'età
86,s74,apple,fruit,mela,frutto
87,s74,apple,fruit,mela,autunnale
88,s74,apple,fruit,mela,di diversi colori
89,s74,apple,fruit,mela,ha un sapore dolce
90,s74,tower,building,torre,costruzione
91,s74,tower,building,torre,ha una forma a cilindro
92,s74,tower,building,torre,costruita in muratura
93,s74,tower,building,torre,è di altezza variabile
94,s74,train,vehicle,treno,mezzo
95,s74,train,vehicle,treno,di trasporto
96,s74,train,vehicle,treno,suddiviso in vagoni
97,s74,train,vehicle,treno,viaggia su binari
98,s74,train,vehicle,treno,va a elettricità
99,s74,potato,vegetable,patata,tubero
100,s74,potato,vegetable,patata,commestibile
101,s74,potato,vegetable,patata,di colore marron chiaro
102,s74,potato,vegetable,patata,cresce sottoterra
103,s74,potato,vegetable,patata,buona fritta
104,s74,bridge,building,ponte,costruzione
105,s74,bridge,building,ponte,serve a congiungere due sponde
106,s74,bridge,building,ponte,in uso sin dall'antichità
107,s74,bridge,building,ponte,di mattoni
108,s74,bridge,building,ponte,di pietre
109,s74,sword,implement,spada,arma
110,s74,sword,implement,spada,arma bianca
111,s74,sword,implement,spada,in acciaio
112,s74,sword,implement,spada,usata nei tempi antichi
113,s74,sword,implement,spada,strumento di morte
114,s74,airplane,vehicle,aeroplano,mezzo
115,s74,airplane,vehicle,aeroplano,di trasporto
116,s74,airplane,vehicle,aeroplano,viaggia nei cieli
117,s74,airplane,vehicle,aeroplano,raggiunge velocità molto alte
118,s74,airplane,vehicle,aeroplano,trasporta persone
119,s74,airplane,vehicle,aeroplano,trasporta merci
120,s74,pineapple,fruit,ananas,frutto
121,s74,pineapple,fruit,ananas,tropicale
122,s74,pineapple,fruit,ananas,colore giallo
123,s74,pineapple,fruit,ananas,sapore dolce
124,s74,pineapple,fruit,ananas,ha una scorza molto dura
125,s75,leg,bodypart,gamba,è una delle 2 parti inferiori
126,s75,leg,bodypart,gamba,parti del corpo
127,s75,leg,bodypart,gamba,ha 2 giunture
128,s75,leg,bodypart,gamba,serve per consentire la deambulazione
129,s75,head,bodypart,testa,parte finale del corpo
130,s75,head,bodypart,testa,i capelli crescono su di essa
131,s75,head,bodypart,testa,è la sede del cervello
132,s75,head,bodypart,testa,è la sede degli occhi
133,s75,head,bodypart,testa,è la sede della bocca
134,s75,head,bodypart,testa,è la sede delle orecchie
135,s75,jacket,clothing,giacca,capo di vestiario
136,s75,jacket,clothing,giacca,dotato di 2 maniche
137,s75,jacket,clothing,giacca,serve per coprire il corpo
138,s75,jacket,clothing,giacca,serve per riscaldare il corpo
139,s75,armchair,furniture,poltrona,struttura
140,s75,armchair,furniture,poltrona,con 4 appoggi al terreno
141,s75,armchair,furniture,poltrona,serve per una seduta comoda
142,s75,chair,furniture,sedia,dotata di 4 appoggi
143,s75,chair,furniture,sedia,struttura semplice
144,s75,chair,furniture,sedia,struttura lineare
145,s75,chair,furniture,sedia,serve per consentire la seduta durante le attività
146,s75,garage,building,garage,luogo
147,s75,garage,building,garage,sotterraneo
148,s75,garage,building,garage,adiacente all'abitazione
149,s75,garage,building,garage,adibito al posteggio di auto
150,s75,garage,building,garage,adibito al posteggio di cicli
151,s75,garage,building,garage,adibito al posteggio di motocicli
152,s75,cherry,fruit,ciliegia,frutto
153,s75,cherry,fruit,ciliegia,rotondo
154,s75,cherry,fruit,ciliegia,piccolo
155,s75,cherry,fruit,ciliegia,colore rosso
156,s75,cherry,fruit,ciliegia,ha un nocciolo
157,s75,cherry,fruit,ciliegia,legata ad un'altra
158,s75,chemise,clothing,camicia,capo di vestiario
159,s75,chemise,clothing,camicia,tessuto leggero
160,s75,chemise,clothing,camicia,aperta sul davanti
161,s75,chemise,clothing,camicia,chiudibile con bottoni
162,s75,table,furniture,tavolo,struttura
163,s75,table,furniture,tavolo,con 4 gambe
164,s75,table,furniture,tavolo,utilizzato per l'appoggio di oggetti
165,s75,comb,implement,pettine,oggetto
166,s75,comb,implement,pettine,dalla dimensione media di 12 cm
167,s75,comb,implement,pettine,sottile
168,s75,comb,implement,pettine,con dei dentini
169,s75,comb,implement,pettine,usato per pettinare i capelli
170,s75,church,building,chiesa,struttura
171,s75,church,building,chiesa,adibita al culto religioso
172,s75,pear,fruit,pera,frutto
173,s75,pear,fruit,pera,verde
174,s75,pear,fruit,pera,forma tondeggiante
175,s75,pear,fruit,pera,gusto dolce
176,s75,monkey,mammal,scimmia,animale
177,s75,monkey,mammal,scimmia,è peloso
178,s75,monkey,mammal,scimmia,ha le dista prensili
179,s75,goose,bird,oca,animale
180,s75,goose,bird,oca,con becco
181,s75,goose,bird,oca,con zampe palmate
182,s75,goose,bird,oca,è un pennuto
183,s75,goose,bird,oca,sta negli stagni
184,s75,paintbrush,implement,pennello,strumento per la pittura
185,s75,paintbrush,implement,pennello,forma affusolata
186,s75,paintbrush,implement,pennello,manico rigido
187,s75,paintbrush,implement,pennello,punta fatta di crine
188,s75,sweater,clothing,pullover,indumento
189,s75,sweater,clothing,pullover,scaldare
190,s75,onion,vegetable,cipolla,ortaggio
191,s75,onion,vegetable,cipolla,si usa come aggiunta in cucina
192,s75,bear,mammal,orso,animale
193,s75,bear,mammal,orso,dalle grandi proporzioni
194,s75,bear,mammal,orso,peloso
195,s75,bear,mammal,orso,bianco
196,s75,bear,mammal,orso,nero
197,s75,sparrow,bird,passero,uccello
198,s75,sparrow,bird,passero,pennuto
199,s75,sparrow,bird,passero,piccolo
200,s75,shoes,clothing,scarpe,indumento
201,s75,shoes,clothing,scarpe,usato per i piedi
202,s75,shoes,clothing,scarpe,isola dal suolo
203,s75,shoes,clothing,scarpe,facilita il camminare
204,s75,spinach,vegetable,spinaci,verdura
205,s75,spinach,vegetable,spinaci,verdi
206,s75,spinach,vegetable,spinaci,cotti
207,s75,spinach,vegetable,spinaci,contengono ferro
208,s75,broom,implement,scopa,strumento
209,s75,broom,implement,scopa,per la pulizia
210,s75,broom,implement,scopa,bastone filiforme
211,s75,broom,implement,scopa,con serole in fondo
212,s75,socks,clothing,calzini,indumento
213,s75,socks,clothing,calzini,di tessuto
214,s75,socks,clothing,calzini,per i piedi
215,s75,owl,bird,gufo,animale
216,s75,owl,bird,gufo,conduce vita notturna
217,s75,owl,bird,gufo,è un pennuto
218,s75,owl,bird,gufo,simbolo di Atene
219,s75,seagull,bird,gabbiano,uccello
220,s75,seagull,bird,gabbiano,vive vicino al mare
221,s75,seagull,bird,gabbiano,si nutre di pesce
222,s76,hand,bodypart,mano,parte terminale del braccio
223,s76,hand,bodypart,mano,dotata di 5 dita
224,s76,hand,bodypart,mano,permette di maneggiare oggetti
225,s76,woodpecker,bird,picchio,animale
226,s76,woodpecker,bird,picchio,volatile
227,s76,woodpecker,bird,picchio,batte sugli alberi
228,s76,woodpecker,bird,picchio,fa buchi nei tronchi
229,s76,woodpecker,bird,picchio,non è un mammifero
230,s76,orange,fruit,arancia,frutto
231,s76,orange,fruit,arancia,rotondo
232,s76,orange,fruit,arancia,di colore arancione
233,s76,orange,fruit,arancia,ha una buccia
234,s76,orange,fruit,arancia,ha una polpa divisibile in spicchi
235,s76,bus,vehicle,autobus,mezzo
236,s76,bus,vehicle,autobus,di trasporto
237,s76,bus,vehicle,autobus,permette di portare un numero elevato di persone
238,s76,bus,vehicle,autobus,ha 4 ruote
239,s76,bus,vehicle,autobus,ha tanti sedili
240,s76,bus,vehicle,autobus,è guidato da un uomo
241,s76,corn,vegetable,mais,frutto
242,s76,corn,vegetable,mais,di colore giallo
243,s76,corn,vegetable,mais,di forma allungata
244,s76,corn,vegetable,mais,formato da tanti chicchi
245,s76,corn,vegetable,mais,è commestibile
246,s76,bed,furniture,letto,oggetto
247,s76,bed,furniture,letto,a 4 gambe
248,s76,bed,furniture,letto,su cui ci si può sdraiare
249,s76,bed,furniture,letto,serve per riposarsi
250,s76,bed,furniture,letto,è morbido
251,s76,rabbit,mammal,coniglio,animale
252,s76,rabbit,mammal,coniglio,mammifero
253,s76,rabbit,mammal,coniglio,con pelliccia
254,s76,rabbit,mammal,coniglio,piccolo
255,s76,rabbit,mammal,coniglio,orecchie lunghe
256,s76,rabbit,mammal,coniglio,coda corta
257,s76,rabbit,mammal,coniglio,erbivoro
258,s76,peas,vegetable,piselli,verdura
259,s76,peas,vegetable,piselli,verde
260,s76,peas,vegetable,piselli,legumi
261,s76,peas,vegetable,piselli,forma rotonda
262,s76,peas,vegetable,piselli,molto piccoli
263,s76,peas,vegetable,piselli,contenuti in baccelli
264,s76,peas,vegetable,piselli,studiati da Mendel
265,s76,closet,furniture,armadio,oggetto
266,s76,closet,furniture,armadio,capiente
267,s76,closet,furniture,armadio,vuoto all'interno
268,s76,closet,furniture,armadio,serve per contenere indumenti
269,s76,closet,furniture,armadio,ha delle ante apribili
270,s76,ship,vehicle,nave,mezzo
271,s76,ship,vehicle,nave,di trasporto
272,s76,ship,vehicle,nave,viaggia sull'acqua
273,s76,ship,vehicle,nave,traporta persone
274,s76,ship,vehicle,nave,trasporta merci
275,s76,ship,vehicle,nave,trasporta cose
276,s76,dog,mammal,cane,mammifero
277,s76,dog,mammal,cane,quadrupede
278,s76,dog,mammal,cane,pelliccia
279,s76,dog,mammal,cane,miglior amico dell'uomo
280,s76,dog,mammal,cane,di media grandezza
281,s76,horse,mammal,cavallo,mammifero
282,s76,horse,mammal,cavallo,di grandi dimensioni
283,s76,horse,mammal,cavallo,quadrupede
284,s76,horse,mammal,cavallo,peloso
285,s76,horse,mammal,cavallo,nitrisce
286,s76,horse,mammal,cavallo,si può cavalcare
287,s76,tongs,implement,pinze,oggetto
288,s76,tongs,implement,pinze,usato per piegare metalli
289,s76,tongs,implement,pinze,forma simile alla forbice
290,s76,skyscraper,building,grattacielo,edificio
291,s76,skyscraper,building,grattacielo,molto alto
292,s76,skyscraper,building,grattacielo,contiene appartamenti
293,s76,skyscraper,building,grattacielo,contiene uffici
294,s76,eye,bodypart,occhio,parte del corpo umano
295,s76,eye,bodypart,occhio,situato sul capo
296,s76,eye,bodypart,occhio,permette di vedere
297,s76,eye,bodypart,occhio,permette di distinguere colori
298,s76,eye,bodypart,occhio,può avere difetti di vista
299,s76,truck,vehicle,camion,mezzo
300,s76,truck,vehicle,camion,di locomozione
301,s76,truck,vehicle,camion,lungo
302,s76,truck,vehicle,camion,4 ruote
303,s76,truck,vehicle,camion,trasporta merci
304,s76,truck,vehicle,camion,guidato da 1 uomo
305,s76,finger,bodypart,dito,parte della mano
306,s76,finger,bodypart,dito,formato da falangi
307,s76,finger,bodypart,dito,è flessibile
308,s76,apple,fruit,mela,frutto
309,s76,apple,fruit,mela,dalla consistenza dura
310,s76,apple,fruit,mela,rotondo
311,s76,apple,fruit,mela,di vari colori
312,s76,apple,fruit,mela,commestibile
313,s76,tower,building,torre,parte di edifici antichi
314,s76,tower,building,torre,alta
315,s76,tower,building,torre,rotonda
316,s76,train,vehicle,treno,mezzo
317,s76,train,vehicle,treno,di locomozione
318,s76,train,vehicle,treno,su rotaie
319,s76,train,vehicle,treno,formato da vari vagoni
320,s76,train,vehicle,treno,può trasportare molte persone
321,s76,potato,vegetable,patata,tubero
322,s76,potato,vegetable,patata,di colore giallo all'interno
323,s76,potato,vegetable,patata,buccia di colore marrone
324,s76,potato,vegetable,patata,commestibile
325,s76,bridge,building,ponte,tratto di strada
326,s76,bridge,building,ponte,costruito dall'uomo
327,s76,bridge,building,ponte,permette di attraversare le acque senza utilizzare navi
328,s76,sword,implement,spada,oggetto
329,s76,sword,implement,spada,di metallo
330,s76,sword,implement,spada,ha lama affilata
331,s76,sword,implement,spada,può ferire
332,s76,sword,implement,spada,può uccidere
333,s76,airplane,vehicle,aeroplano,mezzo
334,s76,airplane,vehicle,aeroplano,di locomozione
335,s76,airplane,vehicle,aeroplano,viaggia in aria
336,s76,airplane,vehicle,aeroplano,può portare molte persone
337,s76,pineapple,fruit,ananas,frutto
338,s76,pineapple,fruit,ananas,tropicale
339,s76,pineapple,fruit,ananas,scorza dura
340,s76,pineapple,fruit,ananas,colore interno giallo
341,s76,pineapple,fruit,ananas,commestibile
342,s77,leg,bodypart,gamba,è una parte del nostro corpo
343,s77,leg,bodypart,gamba,ci permette di muoverci
344,s77,leg,bodypart,gamba,ogni essere umano è dotato di 2 gambe
345,s77,head,bodypart,testa,parte del corpo umano
346,s77,head,bodypart,testa,poggia sul collo
347,s77,head,bodypart,testa,costituita da una struttura ossea
348,s77,jacket,clothing,giacca,un capo d'abbigliamento
349,s77,jacket,clothing,giacca,si indossa per ultima
350,s77,jacket,clothing,giacca,serve per tenere caldo
351,s77,armchair,furniture,poltrona,è un oggetto d'arredamento
352,s77,armchair,furniture,poltrona,serve per permettere alle persone di sedersi
353,s77,armchair,furniture,poltrona,è presente nei salotti
354,s77,chair,furniture,sedia,"è un ""oggetto d'arredamento"""
355,s77,chair,furniture,sedia,è meno comoda rispetto ad una poltrona
356,s77,chair,furniture,sedia,permettere alle persone di sedersi
357,s77,garage,building,garage,è un luogo
358,s77,garage,building,garage,dove si ripongono i veicoli
359,s77,garage,building,garage,piccolo
360,s77,cherry,fruit,ciliegia,frutto
361,s77,cherry,fruit,ciliegia,rosso
362,s77,cherry,fruit,ciliegia,rotondo
363,s77,cherry,fruit,ciliegia,appaiatà con un'altra ciliegia
364,s77,chemise,clothing,camicia,capo d'abbigliamento
365,s77,chemise,clothing,camicia,indumento elegante
366,s77,chemise,clothing,camicia,non tiene molto caldo
367,s77,table,furniture,tavolo,oggetto d'arredamento
368,s77,table,furniture,tavolo,ha 4 gambe
369,s77,table,furniture,tavolo,permette alle persone di mangiare
370,s77,comb,implement,pettine,un utensile
371,s77,comb,implement,pettine,permette alle persone di modificare la propria acconciatura
372,s77,church,building,chiesa,edificio
373,s77,church,building,chiesa,religioso
374,s77,church,building,chiesa,dove si svologono le funzioni religiose
375,s77,church,building,chiesa,casa di Dio
376,s77,pear,fruit,pera,è un frutto
377,s77,pear,fruit,pera,ha un sapore dolce
378,s77,pear,fruit,pera,è di forma tondeggiante alla base
379,s77,pear,fruit,pera,è più allungata sopra
380,s77,monkey,mammal,scimmia,è un animale
381,s77,monkey,mammal,scimmia,selvatico
382,s77,monkey,mammal,scimmia,è pelosa
383,s77,monkey,mammal,scimmia,assomiglia ai nostri antenati
384,s77,goose,bird,oca,è un volatile
385,s77,goose,bird,oca,ha delle piume
386,s77,goose,bird,oca,è commestibile
387,s77,paintbrush,implement,pennello,utensile per la pittura
388,s77,paintbrush,implement,pennello,è composto da molti peli
389,s77,paintbrush,implement,pennello,è lo strumento degli artisti
390,s77,sweater,clothing,pullover,capo d'abbigliamento
391,s77,sweater,clothing,pullover,si mette sopra la camicia
392,s77,sweater,clothing,pullover,è più caldo di una camicia
393,s77,sweater,clothing,pullover,è meno caldo di una giacca
394,s77,onion,vegetable,cipolla,è un ortaggio
395,s77,onion,vegetable,cipolla,ha un odore sgradevole
396,s77,onion,vegetable,cipolla,fa lacrimare gli occhi
397,s77,bear,mammal,orso,è un animale
398,s77,bear,mammal,orso,selvatico
399,s77,bear,mammal,orso,pericoloso
400,s77,bear,mammal,orso,carnivoro
401,s77,sparrow,bird,passero,è un volatile
402,s77,sparrow,bird,passero,è di piccole dimensioni
403,s77,sparrow,bird,passero,sa volare
404,s77,shoes,clothing,scarpe,capo d'abbigliamento
405,s77,shoes,clothing,scarpe,coprono i piedi
406,s77,shoes,clothing,scarpe,sono sempre 2
407,s77,spinach,vegetable,spinaci,verdura
408,s77,spinach,vegetable,spinaci,contiene ferro
409,s77,spinach,vegetable,spinaci,verdi
410,s77,spinach,vegetable,spinaci,hanno un sapore amaro
411,s77,broom,implement,scopa,utensile
412,s77,broom,implement,scopa,per pulire
413,s77,broom,implement,scopa,ha un manico
414,s77,broom,implement,scopa,è lunga
415,s77,socks,clothing,calzini,capo d'abbigliamento
416,s77,socks,clothing,calzini,si mettono prima delle scarpe
417,s77,socks,clothing,calzini,vanno ai piedi
418,s77,owl,bird,gufo,è un volatile
419,s77,owl,bird,gufo,è un animale notturno
420,s77,owl,bird,gufo,vede di notte
421,s77,seagull,bird,gabbiano,è un volatile
422,s77,seagull,bird,gabbiano,vive presso i mari
423,s77,seagull,bird,gabbiano,vive presso gli oceani
424,s77,seagull,bird,gabbiano,è bianco
425,s78,hand,bodypart,mano,ha 5 dita
426,s78,hand,bodypart,mano,parte del corpo
427,s78,hand,bodypart,mano,serve per afferrare oggetto
428,s78,hand,bodypart,mano,è fatta di carne
429,s78,woodpecker,bird,picchio,batte sugli alberi
430,s78,woodpecker,bird,picchio,è rosso
431,s78,woodpecker,bird,picchio,è nero
432,s78,woodpecker,bird,picchio,è un volatile
433,s78,orange,fruit,arancia,oggetto
434,s78,orange,fruit,arancia,sferico
435,s78,orange,fruit,arancia,arancione
436,s78,orange,fruit,arancia,si mangia
437,s78,orange,fruit,arancia,ha un sapore aspro
438,s78,bus,vehicle,autobus,mezzo
439,s78,bus,vehicle,autobus,di trasporto
440,s78,bus,vehicle,autobus,che contiene un numero elevato di persone
441,s78,corn,vegetable,mais,chicchi gialli
442,s78,corn,vegetable,mais,di sapore insipido
443,s78,bed,furniture,letto,oggetto
444,s78,bed,furniture,letto,rettangolare
445,s78,bed,furniture,letto,morbido
446,s78,bed,furniture,letto,che serve per dormire
447,s78,rabbit,mammal,coniglio,mammifero
448,s78,rabbit,mammal,coniglio,peloso
449,s78,rabbit,mammal,coniglio,dotato di lunghe orecchie
450,s78,rabbit,mammal,coniglio,saltella
451,s78,peas,vegetable,piselli,palline
452,s78,peas,vegetable,piselli,verdi
453,s78,peas,vegetable,piselli,si mangiano
454,s78,closet,furniture,armadio,grande
455,s78,closet,furniture,armadio,parallelepipedo
456,s78,closet,furniture,armadio,di legno
457,s78,closet,furniture,armadio,usato per contenere oggetti
458,s78,ship,vehicle,nave,mezzo
459,s78,ship,vehicle,nave,di trasporto
460,s78,ship,vehicle,nave,usato per navigare
461,s78,dog,mammal,cane,mammifero
462,s78,dog,mammal,cane,peloso
463,s78,dog,mammal,cane,rumoroso
464,s78,dog,mammal,cane,animale
465,s78,dog,mammal,cane,domestico
466,s78,horse,mammal,cavallo,animale
467,s78,horse,mammal,cavallo,alto
468,s78,horse,mammal,cavallo,usato un tempo come mezzo di trasporto
469,s78,tongs,implement,pinze,oggetto
470,s78,tongs,implement,pinze,per stringere altri oggetti
471,s78,skyscraper,building,grattacielo,edificio
472,s78,skyscraper,building,grattacielo,con molti piani
473,s78,skyscraper,building,grattacielo,è molto alto
474,s78,skyscraper,building,grattacielo,c'è nelle grandi città
475,s78,eye,bodypart,occhio,parte del corpo umano
476,s78,eye,bodypart,occhio,usato per vedere
477,s78,truck,vehicle,camion,mezzo
478,s78,truck,vehicle,camion,di trasporto
479,s78,truck,vehicle,camion,che contiene merci
480,s78,finger,bodypart,dito,parte della mano
481,s78,finger,bodypart,dito,è articolato
482,s78,apple,fruit,mela,oggetto
483,s78,apple,fruit,mela,sferico
484,s78,apple,fruit,mela,commestibile
485,s78,apple,fruit,mela,verde
486,s78,apple,fruit,mela,rosso
487,s78,apple,fruit,mela,giallo
488,s78,tower,building,torre,alta
489,s78,tower,building,torre,costruzione
490,s78,tower,building,torre,di pietra
491,s78,tower,building,torre,usata nel medioevo
492,s78,tower,building,torre,ha poche finestre
493,s78,train,vehicle,treno,mezzo
494,s78,train,vehicle,treno,di trasporto
495,s78,train,vehicle,treno,che viaggia su rotaie
496,s78,train,vehicle,treno,alimentato a vapore
497,s78,train,vehicle,treno,alimentato dal diesel
498,s78,train,vehicle,treno,alimentato da corrente elettrica
499,s78,potato,vegetable,patata,tubero
500,s78,potato,vegetable,patata,marrone
501,s78,potato,vegetable,patata,commestibile
502,s78,bridge,building,ponte,costruzione
503,s78,bridge,building,ponte,consente di oltrepassare fiumi
504,s78,bridge,building,ponte,consente di oltrepassare burroni
505,s78,sword,implement,spada,arma
506,s78,sword,implement,spada,di metallo
507,s78,sword,implement,spada,usata in tempo remoto
508,s78,airplane,vehicle,aeroplano,mezzo
509,s78,airplane,vehicle,aeroplano,di trasporto
510,s78,airplane,vehicle,aeroplano,capace di volare
511,s78,airplane,vehicle,aeroplano,può contenere un numero elevato di persone
512,s78,airplane,vehicle,aeroplano,di dimensioni diverse
513,s78,pineapple,fruit,ananas,frutto
514,s78,pineapple,fruit,ananas,tropicale
515,s78,pineapple,fruit,ananas,dal colore marrone chiaro
516,s78,pineapple,fruit,ananas,con un ciuffo verde
517,s79,hand,bodypart,mano,estrema
518,s79,hand,bodypart,mano,parte del braccio umano
519,s79,hand,bodypart,mano,pensile
520,s79,woodpecker,bird,picchio,piccolo
521,s79,woodpecker,bird,picchio,uccello
522,s79,woodpecker,bird,picchio,caratterizzato dalla capacità di scavare nei tronchi col becco
523,s79,orange,fruit,arancia,agrume
524,s79,orange,fruit,arancia,frutto
525,s79,orange,fruit,arancia,dell'arancio
526,s79,orange,fruit,arancia,contiene vitamina C
527,s79,orange,fruit,arancia,divisa in spicchi
528,s79,orange,fruit,arancia,coperta da una buccia
529,s79,bus,vehicle,autobus,mezzo
530,s79,bus,vehicle,autobus,di trasporto
531,s79,bus,vehicle,autobus,porta più persone
532,s79,bus,vehicle,autobus,si muove secondo percorsi prestabiliti
533,s79,corn,vegetable,mais,verdura
534,s79,corn,vegetable,mais,gialla
535,s79,corn,vegetable,mais,cresce in pannocchie
536,s79,corn,vegetable,mais,ha un gusto dolce
537,s79,corn,vegetable,mais,esploso crea pop-corn
538,s79,bed,furniture,letto,dove ci si sdraia per dormire
539,s79,bed,furniture,letto,composto da una struttura
540,s79,bed,furniture,letto,composto da doghe
541,s79,bed,furniture,letto,composto da materasso
542,s79,bed,furniture,letto,composto da lenzuola
543,s79,rabbit,mammal,coniglio,mammifero
544,s79,rabbit,mammal,coniglio,erbivoro
545,s79,rabbit,mammal,coniglio,di piccole dimensioni
546,s79,rabbit,mammal,coniglio,si moltiplica molto velocemente
547,s79,peas,vegetable,piselli,ortaggio
548,s79,peas,vegetable,piselli,verde
549,s79,peas,vegetable,piselli,sotto una morbida scorza sta la verdura vera e propria
550,s79,closet,furniture,armadio,mobile
551,s79,closet,furniture,armadio,di grandi dimensioni
552,s79,closet,furniture,armadio,vi si ripongono oggetti
553,s79,closet,furniture,armadio,vi si ripongono vestiti
554,s79,ship,vehicle,nave,mezzo
555,s79,ship,vehicle,nave,di trasporto
556,s79,ship,vehicle,nave,via acqua
557,s79,ship,vehicle,nave,a vela
558,s79,ship,vehicle,nave,a motore
559,s79,dog,mammal,cane,mammifero
560,s79,dog,mammal,cane,di dimensioni variabili dal topo al pony
561,s79,dog,mammal,cane,carnivoro
562,s79,dog,mammal,cane,viene addomesticato come animale da compagnia
563,s79,dog,mammal,cane,viene addomesticato come animale da caccia
564,s79,dog,mammal,cane,viene addomesticato come animale da difesa
565,s79,horse,mammal,cavallo,mammifero
566,s79,horse,mammal,cavallo,quadrupede
567,s79,horse,mammal,cavallo,un tempo usato per gli spostamenti
568,s79,tongs,implement,pinze,strumento
569,s79,tongs,implement,pinze,a X
570,s79,tongs,implement,pinze,basato sul secondo principio delle leve
571,s79,skyscraper,building,grattacielo,grande
572,s79,skyscraper,building,grattacielo,edificio
573,s79,skyscraper,building,grattacielo,di altezza immane
574,s79,skyscraper,building,grattacielo,comune nelle metropoli
575,s79,eye,bodypart,occhio,organo
576,s79,eye,bodypart,occhio,della vista
577,s79,eye,bodypart,occhio,trasmette immagini al cervello
578,s79,truck,vehicle,camion,mezzo
579,s79,truck,vehicle,camion,di trasporto
